,Age,Yearly brutto salary (without bonus and stocks) in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week"
796,33.0,110000.0,110000.0,12.967828418230564
797,30.0,68000.0,66000.0,12.967828418230564
798,39.0,93000.0,93000.0,12.967828418230564
799,30.0,45000.0,,12.967828418230564
800,37.0,80000.0,65000.0,12.967828418230564
801,42.0,65000.0,63000.0,12.967828418230564
802,28.0,65000.0,58000.0,12.967828418230564
803,31.0,60000.0,57000.0,12.967828418230564
804,20.0,240000.0,,0.0
805,34.0,60000.0,36000.0,40.0
806,38.0,80000.0,75000.0,12.967828418230564
807,35.0,85000.0,75000.0,0.0
808,31.0,75000.0,,12.967828418230564
809,37.0,73000.0,67000.0,12.967828418230564
810,37.0,90000.0,84000.0,10.0
811,34.0,80000.0,67000.0,12.967828418230564
812,25.0,42000.0,,12.967828418230564
813,42.0,70000.0,,12.967828418230564
814,35.0,85000.0,64000.0,12.967828418230564
815,37.0,54000.0,54000.0,12.967828418230564
816,33.0,77000.0,70000.0,12.967828418230564
817,26.0,33000.0,27000.0,0.0
818,46.0,70000.0,68000.0,4.0
819,30.0,80000.0,75000.0,12.967828418230564
820,34.0,65000.0,65000.0,12.967828418230564
821,35.0,85000.0,85000.0,12.967828418230564
822,27.0,70000.0,,12.967828418230564
823,31.0,80000.0,85000.0,12.967828418230564
824,24.0,60000.0,60000.0,12.967828418230564
825,28.0,90000.0,75000.0,12.967828418230564
826,42.0,53000.0,,12.967828418230564
827,27.0,55000.0,,8.0
828,30.0,45000.0,45000.0,8.0
829,32.0,68000.0,,28.0
830,26.0,58000.0,,12.967828418230564
831,37.0,80000.0,75000.0,0.0
832,32.0,80000.0,80000.0,12.967828418230564
833,39.0,130000.0,125000.0,12.967828418230564
834,26.0,40000.0,33000.0,12.967828418230564
835,30.0,80000.0,70000.0,25.0
836,44.0,75000.0,73000.0,12.967828418230564
837,26.0,180000.0,190000.0,12.967828418230564
838,30.0,151872.0,,12.967828418230564
839,26.0,48000.0,42000.0,12.967828418230564
840,25.0,57000.0,,12.967828418230564
841,34.0,80000.0,,12.967828418230564
842,38.0,65000.0,60000.0,0.0
843,40.0,90000.0,75000.0,12.967828418230564
844,28.0,50000.0,50000.0,12.967828418230564
845,29.0,52000.0,,0.0
846,30.0,51000.0,46000.0,12.967828418230564
847,28.0,52800.0,47500.0,12.967828418230564
848,32.0,55000.0,,12.967828418230564
849,42.0,95000.0,,12.967828418230564
850,27.0,70000.0,,12.967828418230564
851,29.0,61500.0,53000.0,4.0
852,29.0,78000.0,78000.0,12.967828418230564
853,29.0,500000000.0,500000000.0,0.0
854,27.0,42000.0,42000.0,12.967828418230564
855,36.0,150000.0,120000.0,0.0
856,37.0,84000.0,84000.0,40.0
857,31.0,100000.0,,0.0
858,35.0,49000.0,48000.0,12.967828418230564
859,27.0,60000.0,,12.967828418230564
860,29.0,68000.0,,0.0
861,36.0,70000.0,60000.0,12.967828418230564
862,33.0,70000.0,70000.0,20.0
863,42.0,95000.0,,12.967828418230564
864,32.0,48000.0,,12.967828418230564
865,30.0,115000.0,100000.0,12.967828418230564
866,29.0,60000.0,,12.967828418230564
867,23.0,49000.0,,12.967828418230564
868,35.0,40000.0,38000.0,12.967828418230564
869,36.0,81500.0,78500.0,12.967828418230564
870,34.0,75000.0,65000.0,0.0
871,34.0,94000.0,92000.0,12.967828418230564
872,31.0,100000.0,86000.0,12.967828418230564
873,34.0,55000.0,,12.967828418230564
874,31.0,60000.0,,12.967828418230564
875,33.0,80000.0,,12.967828418230564
876,33.0,67000.0,63500.0,12.967828418230564
877,33.0,56000.0,,12.967828418230564
878,29.0,32000.0,,12.967828418230564
879,44.0,45000.0,,12.967828418230564
880,31.0,77000.0,60000.0,0.0
881,26.0,55000.0,,12.967828418230564
